File created on 2020-10-26T13:51:13.110330
#COOR
GSM

#VAR
bx by bz ux uy uz n hprho hppsrho t

#START
2000 01 01 01 20 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.170  13.169   0.001  53708.90
2000 01 01 01 21 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.180  13.179   0.001  53724.10
2000 01 01 01 22 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.200  13.199   0.001  53724.10
2000 01 01 01 23 00 000       -2.46       2.07       1.18    -352.13        0.00        0.00      13.200  13.199   0.001  53724.10
2000 01 01 01 24 00 000       -2.46       2.07       1.18    -352.13        0.00        0.00      13.200  13.199   0.001  53963.30
2000 01 01 01 25 00 000       -2.46       2.07       1.18    -352.13        0.00        0.00      13.210  13.209   0.001  53963.30
2000 01 01 01 26 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.220  13.219   0.001  53963.30
2000 01 01 01 27 00 000       -2.46       2.07       1.18    -352.49        0.00        0.00      13.220  13.219   0.001  53963.30
2000 01 01 01 28 00 000       -2.46       2.07       1.18    -352.50        0.00        0.00      13.220  13.219   0.001  53963.30
2000 01 01 01 29 00 000       -2.46       2.07       1.18    -352.52        0.00        0.00      13.220  13.219   0.001  54393.80
2000 01 01 01 30 00 000       -2.46       2.07       1.18    -352.54        0.00        0.00      13.220  13.219   0.001  54548.90
2000 01 01 01 31 00 000       -2.46       2.07       1.18    -352.68        0.00        0.00      13.220  13.219   0.001  54574.60
2000 01 01 01 32 00 000       -2.46       2.07       1.18    -352.71        0.00        0.00      13.220  13.219   0.001  54665.40
2000 01 01 01 33 00 000       -2.46       2.07       1.18    -352.77        0.00        0.00      13.220  13.219   0.001  54665.40
2000 01 01 01 34 00 000       -2.46       2.07       1.18    -352.79        0.00        0.00      13.220  13.219   0.001  54665.40
2000 01 01 01 35 00 000       -2.46       2.07       1.20    -352.82        0.00        0.00      13.220  13.219   0.001  54665.40
2000 01 01 01 36 00 000       -2.46       2.07       1.20    -352.93        0.00        0.00      13.220  13.219   0.001  54665.40
2000 01 01 01 37 00 000       -2.46       2.07       1.20    -353.31        0.00        0.00      13.220  13.219   0.001  54671.56
2000 01 01 01 38 00 000       -2.46       2.07       1.20    -353.37        0.00        0.00      13.220  13.219   0.001  54775.44
2000 01 01 01 39 00 000       -2.46       2.07       1.20    -353.37        0.00        0.00      13.240  13.239   0.001  54775.44
2000 01 01 01 40 00 000       -2.46       2.07       1.20    -353.39        0.00        0.00      13.240  13.239   0.001  54804.50
2000 01 01 01 41 00 000       -2.46       2.07       1.20    -353.46        0.00        0.00      13.240  13.239   0.001  54895.80
2000 01 01 01 42 00 000       -2.46       2.07       1.20    -353.46        0.00        0.00      13.240  13.239   0.001  54961.56
2000 01 01 01 43 00 000       -2.46       2.07       1.20    -353.46        0.00        0.00      13.240  13.239   0.001  55115.67
2000 01 01 01 44 00 000       -2.46       2.07       1.20    -353.53        0.00        0.00      13.240  13.239   0.001  55198.60
2000 01 01 01 45 00 000       -2.46       2.07       1.20    -353.56        0.00        0.00      13.240  13.239   0.001  55199.70
2000 01 01 01 46 00 000       -2.46       2.07       1.20    -353.86        0.00        0.00      13.240  13.239   0.001  55522.67
2000 01 01 01 47 00 000       -2.46       2.07       1.20    -353.92        0.00        0.00      13.240  13.239   0.001  55563.40
2000 01 01 01 48 00 000       -2.46       2.07       1.20    -353.92        0.00        0.00      13.240  13.239   0.001  55826.30
2000 01 01 01 49 00 000       -2.46       2.07       1.20    -354.11        0.00        0.00      13.220  13.219   0.001  55877.90
2000 01 01 01 50 00 000       -2.46       2.07       1.20    -354.11        0.00        0.00      13.210  13.209   0.001  55996.50
2000 01 01 01 51 00 000       -2.46       2.07       1.20    -354.11        0.00        0.00      13.210  13.209   0.001  55996.50
2000 01 01 01 52 00 000       -2.46       2.07       1.20    -354.16        0.00        0.00      13.210  13.209   0.001  56130.78
2000 01 01 01 53 00 000       -2.46       2.07       1.20    -354.33        0.00        0.00      13.210  13.209   0.001  56134.50
2000 01 01 01 54 00 000       -2.46       2.07       1.20    -354.33        0.00        0.00      13.210  13.209   0.001  56155.60
2000 01 01 01 55 00 000       -2.46       2.07       1.20    -354.33        0.00        0.00      13.210  13.209   0.001  56174.80
2000 01 01 01 56 00 000       -2.46       2.07       1.20    -354.33        0.00        0.00      13.210  13.209   0.001  56227.78
2000 01 01 01 57 00 000       -2.46       2.07       1.18    -354.38        0.00        0.00      13.210  13.209   0.001  56227.78
2000 01 01 01 58 00 000       -2.46       2.07       1.18    -354.44        0.00        0.00      13.220  13.219   0.001  56227.78
2000 01 01 01 59 00 000       -2.46       2.07       1.12    -354.46        0.00        0.00      13.220  13.219   0.001  56227.78
