File created on 2025-03-04T16:03:35.267070
32 min time shift appliedSource data from dscovrFile created on 2025-03-04 16:03:35.266466#COOR
GSM


#START
2017 09 06 19 15 00 000        1.15      -2.20       0.54    -395.08       0.63       3.04       3.21   25634.82
2017 09 06 19 16 00 000        1.11      -2.25       0.53    -394.41       1.73       1.59       3.18   27029.11
2017 09 06 19 17 00 000        1.21      -2.15       0.56    -393.79       2.24      -0.44       3.19   29366.58
2017 09 06 19 18 00 000        1.35      -2.09       0.39    -392.67       2.03      -4.39       3.24   33542.20
2017 09 06 19 19 00 000        1.55      -2.01       0.16    -391.60       3.32      -8.02       3.32   38527.98
2017 09 06 19 20 00 000        1.51      -2.01       0.17    -392.23       3.06      -5.89       3.32   38162.12
2017 09 06 19 21 00 000        1.54      -1.99       0.20    -390.95       1.23      -9.72       3.07   36122.18
2017 09 06 19 22 00 000        1.77      -1.86       0.31    -387.27      -3.92     -18.20       2.53   28134.05
2017 09 06 19 23 00 000        1.75      -1.80       0.49    -387.53      -0.84     -16.53       2.61   28757.79
2017 09 06 19 24 00 000        1.76      -1.70       0.67    -387.65      -0.97     -15.49       2.61   28995.06
2017 09 06 19 25 00 000        1.81      -1.75       0.67    -387.52       0.38     -16.61       2.50   27746.37
2017 09 06 19 26 00 000        1.61      -1.97       0.60    -389.18       3.41     -15.37       2.64   27230.43
2017 09 06 19 27 00 000        1.41      -2.01       0.68    -391.65       1.69      -1.21       3.09   29943.09
2017 09 06 19 28 00 000        1.38      -1.97       0.84    -392.01       3.45       1.91       3.11   27707.75
2017 09 06 19 29 00 000        1.46      -1.72       1.15    -391.37       5.95       1.96       3.20   30270.00
2017 09 06 19 30 00 000        1.47      -1.50       1.38    -391.57       6.80       5.12       3.20   31308.71
2017 09 06 19 31 00 000        1.44      -1.37       1.40    -392.06       7.16       3.17       3.20   31856.25
2017 09 06 19 32 00 000        1.32      -1.19       1.53    -393.25       7.82       2.79       3.14   30528.10
2017 09 06 19 33 00 000        1.29      -1.38       1.01    -394.79       5.39      -0.81       3.05   30576.93
2017 09 06 19 34 00 000        0.85      -1.68       0.52    -398.49       5.86      -2.04       3.20   29743.25
2017 09 06 19 35 00 000       -0.11      -1.82      -0.25    -402.32      10.96       1.72       3.71   28380.04
2017 09 06 19 36 00 000       -0.47      -1.65      -0.33    -402.47      11.06       3.67       3.77   28145.96
2017 09 06 19 37 00 000       -0.62      -1.93      -0.36    -403.21      10.74       1.10       3.63   29516.18
2017 09 06 19 38 00 000       -0.03      -2.08       0.21    -400.24       7.94       1.94       3.66   30714.18
2017 09 06 19 39 00 000        1.21      -1.40       1.11    -394.74       6.99      -0.70       3.36   31889.59
2017 09 06 19 40 00 000        1.06      -1.65       1.04    -395.10       5.10      -1.03       3.20   27546.26
2017 09 06 19 41 00 000        0.94      -1.50       0.97    -396.96       4.79       3.21       3.26   25474.76
2017 09 06 19 42 00 000        0.64      -1.68       0.80    -398.17       1.56       8.32       3.30   22557.46
2017 09 06 19 43 00 000        0.48      -1.63       0.65    -398.25       1.61       8.93       3.29   21760.93
2017 09 06 19 44 00 000        0.47      -1.57       0.73    -398.18       2.17       8.35       3.37   22131.45
2017 09 06 19 45 00 000        0.46      -1.53       0.61    -398.38       4.48       7.03       3.32   22053.31
2017 09 06 19 46 00 000        0.27      -1.67       0.58    -401.38       5.21       3.52       3.53   26601.44
2017 09 06 19 47 00 000       -0.21      -1.76       0.26    -405.94       3.70       1.71       3.76   31968.14
2017 09 06 19 48 00 000       -0.51      -1.81      -0.00    -407.97      -3.55      -1.00       3.70   33545.80
2017 09 06 19 49 00 000       -0.47      -1.98       0.12    -405.75       8.86       3.17       3.51   29410.67
2017 09 06 19 50 00 000       -0.43      -2.02       0.26    -403.89       8.31       4.12       3.48   27947.15
2017 09 06 19 51 00 000       -0.40      -2.25       0.22    -404.27       8.84       2.08       3.37   27703.54
2017 09 06 19 52 00 000       -0.28      -2.25       0.46    -403.64       6.55       7.13       3.56   27497.34
2017 09 06 19 53 00 000       -0.31      -2.09       0.64    -402.32       7.13      10.02       3.70   28190.58
2017 09 06 19 54 00 000       -0.09      -1.94       0.86    -400.50       7.55      10.24       3.77   28265.79
2017 09 06 19 55 00 000        0.06      -1.83       0.78    -398.88       7.72      11.25       3.85   26947.13
2017 09 06 19 56 00 000        0.08      -1.79       0.59    -399.72      10.60      11.19       3.90   28259.33
2017 09 06 19 57 00 000       -0.20      -1.63       0.76    -401.19      12.37      10.80       3.99   31203.43
2017 09 06 19 58 00 000       -0.30      -1.40       0.98    -401.41      12.34       5.64       3.81   31978.10
2017 09 06 19 59 00 000       -0.46      -1.68       0.98    -399.44       9.38      -0.33       3.23   26020.32
2017 09 06 20 00 00 000       -0.11      -2.00       0.84    -397.97       6.47      -2.01       2.97   21869.48
2017 09 06 20 01 00 000       -0.02      -2.01       0.88    -398.94      10.43      -6.23       3.20   26050.25
2017 09 06 20 02 00 000       -0.17      -2.09       0.75    -398.62      12.15      -7.57       3.29   26956.58
2017 09 06 20 03 00 000        0.05      -2.01       0.87    -396.03       5.88      -4.57       2.93   22188.26
2017 09 06 20 04 00 000        0.62      -2.11       0.01    -396.86       6.34     -10.15       2.93   27065.88
2017 09 06 20 05 00 000       -0.55      -2.06       0.61    -406.41       6.14       0.09       3.52   33713.65
2017 09 06 20 06 00 000       -1.00      -1.86       0.65    -409.58      -3.19      -0.44       3.82   40122.66
2017 09 06 20 07 00 000       -0.58      -2.05       0.62    -404.84       8.39      -0.15       3.68   35918.77
2017 09 06 20 08 00 000       -0.14      -2.00       0.75    -401.08       6.80       0.02       3.49   31153.11
2017 09 06 20 09 00 000       -0.22      -2.10       0.67    -401.22      11.64      -1.49       3.38   26753.18
2017 09 06 20 10 00 000       -0.20      -1.86       1.17    -402.26      13.06       2.77       3.34   26564.19
2017 09 06 20 11 00 000       -0.59      -1.13       1.81    -405.10      15.19       5.50       3.50   32738.30
2017 09 06 20 12 00 000       -0.47      -2.06       0.67    -404.04      10.78      -3.13       3.60   35025.65
2017 09 06 20 13 00 000       -0.42      -2.10       0.27    -402.26       9.55      -2.79       3.68   34461.05
2017 09 06 20 14 00 000        0.01      -2.10       0.65    -400.75       7.40      -0.69       3.60   32607.11
2017 09 06 20 15 00 000       -0.52      -2.11       0.87    -404.74      12.18       0.90       3.38   32052.40
2017 09 06 20 16 00 000       -0.94      -1.59       1.49    -406.96      12.20       2.74       3.53   36814.92
2017 09 06 20 17 00 000       -0.74      -1.69       1.58    -404.45      11.79       5.87       3.34   28483.74
2017 09 06 20 18 00 000       -0.68      -1.66       1.73    -403.08      12.36       6.35       3.29   25851.79
2017 09 06 20 19 00 000       -0.56      -1.61       1.78    -402.10      11.85       5.34       3.26   25051.86
2017 09 06 20 20 00 000       -0.50      -1.66       1.71    -401.47      12.53       2.29       3.11   23667.21
2017 09 06 20 21 00 000       -0.44      -1.97       1.28    -401.76      11.09       1.35       3.17   23984.10
2017 09 06 20 22 00 000       -0.55      -2.00       1.10    -402.98       9.51       2.36       3.21   24914.72
2017 09 06 20 23 00 000       -0.62      -2.05       1.00    -403.28       9.39      -0.10       3.21   25584.73
2017 09 06 20 24 00 000       -0.67      -2.09       0.79    -403.84       9.18       0.05       3.27   27412.04
2017 09 06 20 25 00 000       -0.59      -1.99       0.95    -403.45       9.91      -0.21       3.36   29552.98
2017 09 06 20 26 00 000       -0.57      -1.99       0.75    -402.93       8.31      -1.97       3.42   30122.74
2017 09 06 20 27 00 000       -0.51      -1.94       0.65    -402.65       9.79      -2.65       3.31   27313.54
2017 09 06 20 28 00 000       -0.47      -2.03       0.44    -402.96      10.37      -2.32       3.31   27080.23
2017 09 06 20 29 00 000       -0.53      -2.03       0.43    -403.85       9.62      -0.41       3.31   26576.98
