File created on 2024-08-22T17:58:11.643593
Source data: wind_20170906_180030_merged.cdfBallistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-22 17:58:11.642910#COOR
GSM


#START
2017 09 06 20 14 05 090        0.18      -1.80       0.82    -399.94      -1.52      28.48       2.50   39864.84
2017 09 06 20 15 13 365       -0.10      -2.00       0.63    -399.04      -4.93      29.59       2.52   28437.00
2017 09 06 20 16 18 583       -0.05      -2.00       0.69    -398.47      -5.72      30.53       2.44   23320.34
2017 09 06 20 17 20 341        0.05      -2.04       0.67    -398.28      -4.80      30.85       2.38   21762.64
2017 09 06 20 18 14 781       -0.07      -2.04       0.58    -398.88      -1.37      29.50       2.48   24570.69
2017 09 06 20 19 16 854       -0.14      -1.94       0.54    -398.66       1.24      28.34       2.56   26450.69
2017 09 06 20 20 41 998        0.12      -2.00       0.55    -395.95       1.41      27.76       2.56   25546.57
2017 09 06 20 22 08 362        0.24      -1.95       0.96    -393.15       5.24      29.82       2.64   30005.29
2017 09 06 20 23 21 495        0.67      -1.49       1.44    -391.77       9.60      32.62       2.72   33424.85
2017 09 06 20 23 53 325        0.29      -1.16       1.70    -394.75      11.92      34.97       2.70   28364.12
2017 09 06 20 24 31 924        0.14      -0.67       2.00    -397.03      10.92      34.26       2.64   25729.74
2017 09 06 20 25 29 725        0.01      -0.34       1.98    -397.27      -0.06      24.34       2.44   30374.41
2017 09 06 20 26 10 280       -0.21      -1.66       0.48    -399.38      -6.75      24.66       2.29   25961.43
2017 09 06 20 26 51 760       -0.28      -2.23      -0.01    -401.40     -10.71      27.48       2.18   20513.66
2017 09 06 20 27 52 489       -0.41      -2.28       0.23    -401.32     -10.78      27.57       2.19   21019.12
2017 09 06 20 28 58 104       -0.40      -2.29       0.32    -400.71     -10.96      27.45       2.18   23442.92
2017 09 06 20 30 18 512       -0.35      -2.32       0.22    -398.48     -11.49      26.71       2.16   31621.71
2017 09 06 20 31 02 753       -0.30      -2.29       0.00    -400.20      -9.04      31.91       2.13   31612.96
2017 09 06 20 31 41 059       -0.37      -2.08       0.45    -402.58      -6.43      36.21       2.15   28504.36
2017 09 06 20 32 36 933       -0.45      -2.14       0.70    -403.04      -6.32      31.86       2.28   24283.73
2017 09 06 20 33 39 956       -0.39      -2.12       0.96    -402.70      -4.99      31.10       2.25   23902.88
2017 09 06 20 34 45 373       -0.23      -2.07       1.06    -402.11      -3.25      31.55       2.17   24801.95
2017 09 06 20 35 50 725       -0.44      -2.05       1.11    -401.52      -2.57      30.62       2.27   23443.03
2017 09 06 20 36 52 750       -0.39      -2.16       1.01    -401.29      -2.93      29.63       2.35   22109.65
2017 09 06 20 37 44 859       -0.20      -2.16       0.99    -402.16      -5.43      29.84       2.22   23110.94
2017 09 06 20 38 45 411       -0.40      -2.26       0.92    -402.10      -7.88      31.01       2.17   23520.39
2017 09 06 20 39 48 776       -0.35      -2.29       0.91    -401.73     -10.31      32.51       2.14   23732.55
2017 09 06 20 40 52 939       -0.26      -2.24       1.04    -401.27     -10.65      33.48       2.09   22548.32
2017 09 06 20 41 51 802       -0.20      -2.18       1.16    -401.40     -10.29      34.31       2.03   21288.58
2017 09 06 20 42 34 058       -0.31      -2.10       1.20    -403.36      -9.94      35.20       1.97   21198.78
2017 09 06 20 43 23 119       -0.38      -2.05       1.21    -404.58      -8.52      35.89       1.96   21879.80
2017 09 06 20 44 18 885       -0.44      -2.03       1.19    -405.05      -6.52      36.85       1.97   24058.04
2017 09 06 20 45 28 008       -0.39      -1.93       1.35    -404.03      -3.89      38.86       2.02   29957.07
2017 09 06 20 46 29 297       -0.29      -1.82       1.51    -403.89      -2.81      39.09       2.04   32430.04
2017 09 06 20 47 07 143       -0.44      -1.93       1.26    -406.37      -6.37      33.93       1.99   24624.78
2017 09 06 20 47 50 635       -0.69      -2.03       1.12    -408.24      -6.06      33.48       1.99   23947.24
2017 09 06 20 48 39 648       -0.82      -2.03       1.16    -409.49      -4.92      34.22       2.01   24983.88
2017 09 06 20 49 39 480       -0.83      -1.98       1.28    -409.51      -5.17      33.87       2.03   24035.34
2017 09 06 20 50 38 238       -0.83      -1.99       1.30    -409.65      -5.49      33.41       2.06   23622.00
