MIDL Ballistic 32Re Data for 2015-03-16 to 2015-03-20

#COORDINATES
GSM

yr mo dy hr mn sc msc bx by bz ux uy uz rho T

#START
2015  3 16  2 54  0    0    -1.91     6.01    -5.53    -342.2      3.62     -6.97    29.108      40218
2015  3 16  2 55  0    0    -1.43     6.42    -4.93    -344.6      2.90    -10.56    29.739      38299
2015  3 16  2 56  0    0    -0.91     5.16    -5.01    -343.9      4.52     -9.75    29.800      38337
2015  3 16  2 57  0    0    -0.81     4.29    -4.94    -343.2      5.02     -9.20    30.164      39476
2015  3 16  2 58  0    0    -0.88     3.87    -5.24    -343.9      5.05     -9.03    30.327      39645
2015  3 16  2 59  0    0    -1.14     4.40    -5.25    -344.1      4.97     -8.48    30.197      39584
2015  3 16  3  0  0    0    -1.25     4.94    -5.43    -344.2      5.66     -8.07    29.511      39309
2015  3 16  3  1  0    0    -1.29     4.99    -5.43    -344.0      6.11     -7.83    28.835      37552
2015  3 16  3  2  0    0    -1.06     5.00    -5.54    -343.6      5.84     -7.52    27.671      35621
2015  3 16  3  3  0    0    -1.22     5.25    -5.61    -343.5      5.05     -7.59    27.377      35557
2015  3 16  3  4  0    0    -1.40     5.75    -5.33    -343.4      4.64     -7.48    27.313      35603
2015  3 16  3  5  0    0    -2.28     4.84    -5.07    -343.6      6.16     -6.40    26.364      45055
2015  3 16  3  6  0    0    -2.50     4.80    -4.68    -344.3     11.68     -2.69    23.262      59403
2015  3 16  3  7  0    0    -2.61     3.67    -4.28    -344.1     13.16     -1.56    24.288      61778
2015  3 16  3  8  0    0    -2.75     2.87    -4.41    -343.5     11.36     -2.68    27.331      61778
2015  3 16  3  9  0    0    -2.94     2.70    -4.32    -343.0      7.16     -5.04    33.432      49946
2015  3 16  3 10  0    0    -2.94     2.64    -4.26    -343.3      5.56     -5.98    35.729      45085
2015  3 16  3 11  0    0    -2.93     2.76    -4.07    -343.2      5.61     -5.87    35.309      43745
2015  3 16  3 12  0    0    -2.66     3.03    -3.82    -343.0      6.32     -5.30    35.101      43229
2015  3 16  3 13  0    0    -2.44     2.90    -3.70    -341.7      6.83     -4.55    35.184      43156
2015  3 16  3 14  0    0    -2.10     3.11    -3.47    -341.0      6.85     -4.12    35.756      43796
2015  3 16  3 15  0    0    -1.89     3.84    -3.19    -341.1      6.70     -4.10    36.698      44530
2015  3 16  3 16  0    0    -1.96     4.35    -3.11    -341.3      6.81     -4.31    37.207      44085
2015  3 16  3 17  0    0    -2.12     4.42    -3.48    -342.3      7.21     -4.50    37.296      41766
2015  3 16  3 18  0    0    -1.97     3.50    -4.36    -343.4      6.23     -4.68    36.220      40225
2015  3 16  3 19  0    0    -1.76     2.91    -4.77    -344.4      5.91     -4.06    34.586      39975
2015  3 16  3 20  0    0    -1.82     2.87    -4.94    -344.8      5.30     -4.26    34.595      39477
2015  3 16  3 21  0    0    -1.79     3.00    -4.96    -344.4      3.99     -5.65    35.727      37551
2015  3 16  3 22  0    0    -1.46     2.97    -4.88    -344.3      4.24     -5.85    37.229      35362
2015  3 16  3 23  0    0    -1.15     2.83    -5.03    -343.7      8.20     -6.04    37.433      35132
2015  3 16  3 24  0    0    -1.14     2.88    -4.91    -343.2      8.20     -6.43    36.360      34781
2015  3 16  3 25  0    0    -1.38     3.02    -4.85    -344.2      4.95     -8.42    36.073      34112
2015  3 16  3 26  0    0    -1.58     3.02    -4.75    -344.1      3.58     -8.70    37.386      32120
2015  3 16  3 27  0    0    -1.60     2.86    -4.09    -344.7      2.84     -8.69    39.729      30944
2015  3 16  3 28  0    0    -1.21     2.28    -2.87    -344.4      0.71     -8.75    39.901      31053
2015  3 16  3 29  0    0    -1.10     2.30    -2.82    -344.2      0.87     -8.42    38.765      32131
2015  3 16  3 30  0    0    -1.10     2.92    -2.72    -343.6      3.01     -8.09    37.578      33084
2015  3 16  3 31  0    0    -1.16     3.26    -2.33    -343.6      3.43     -7.87    35.792      35424
