Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  1 17  0   0     -0.91      1.50      1.46   -459.62      2.53    -10.51    2.6078   182903.7
2024  5  9  1 18  0   0     -1.11      1.62      1.33   -460.03      0.72     -6.39    2.6838   183129.1
2024  5  9  1 19  0   0     -1.26      1.68      1.06   -459.60     -0.49     -1.11    2.7688   186783.9
2024  5  9  1 20  0   0     -1.58      1.75      0.89   -457.83     -0.95      0.87    2.8056   189092.4
2024  5  9  1 21  0   0     -1.92      1.72      0.83   -459.67     -1.16     -0.88    2.8390   170746.5
2024  5  9  1 22  0   0     -1.99      1.66      0.72   -461.18     -1.23     -3.15    2.7875   157812.8
2024  5  9  1 23  0   0     -1.98      1.80      0.55   -459.81      1.74     -4.56    2.8903   159239.3
2024  5  9  1 24  0   0     -1.80      2.15      0.38   -461.23      5.32     -6.70    3.0559   169467.2
2024  5  9  1 25  0   0     -1.62      2.23      0.47   -461.51      5.03     -6.29    3.2075   182108.4
2024  5  9  1 26  0   0     -1.50      2.17      0.63   -460.26      5.65     -6.90    3.2757   187448.0
2024  5  9  1 27  0   0     -1.58      2.11      0.67   -457.33      4.19    -11.55    3.2931   184745.4
2024  5  9  1 28  0   0     -1.70      2.12      0.74   -458.50      1.86    -14.34    3.0996   175782.0
2024  5  9  1 29  0   0     -1.73      2.09      0.69   -461.64      0.54    -14.16    3.0417   168308.0
2024  5  9  1 30  0   0     -1.77      2.12      0.52   -461.58      0.19    -11.22    3.1447   169813.6
2024  5  9  1 31  0   0     -1.75      2.19      0.18   -460.38      1.39     -9.61    3.0580   178019.0
2024  5  9  1 32  0   0     -1.73      2.25      0.07   -459.49      3.76     -7.71    2.9881   179662.2
2024  5  9  1 33  0   0     -1.76      2.20      0.19   -458.98      4.25     -4.11    3.0105   179578.9
2024  5  9  1 34  0   0     -1.82      2.17      0.27   -459.51      3.16     -4.94    3.0514   188087.6
2024  5  9  1 35  0   0     -1.88      2.12      0.16   -459.81      2.19     -6.96    3.1027   193808.4
2024  5  9  1 36  0   0     -2.02      2.03     -0.06   -459.84      0.83     -6.94    3.0062   190575.7
2024  5  9  1 37  0   0     -2.13      2.02     -0.02   -458.46      0.04     -7.23    2.8967   185039.4
